codigo,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25
301,-1442383.0,-1844301.0,-2043471.0,-2944749.0,-3173052.0,-3282993.0,-3579206.0,-4030577.0,-3954293.0,-5269730.0,-6573399.0,-7658853.0,-8261012.0,-8614158.0,-9414922.0,-10460581.0,-12364811.0,-12618977.0,-15194403.0,-15439574.0,-16221167.0,-18516352.0,-19545357.0,-20181957.0,-22391799.0,-23432847.0,-25633548.0,-26620207.0,-27649916.0,-32068788.0,-32407580.0,-33343773.0,-33944315.0,-34666541.0,-33726172.0,-33375563.0,-32142430.0,-32785924.0,-30939177.0,-33302564.0,-34890803.0,-40717403.0,-45332995.0,-46081394.0,-40057797.0,-38534700.0,-40008210.0,-40618330.0,-42824152.0,-43531646.0,-42201980.0,-43930525.0,-50593158.0,-50816277.0,-51062549.0,-52459021.0,-52685892.0,-53200109.0,-51171722.0,-49374734.0,-48851041.0,-50452533.0,-53967275.0,-56708898.0,-58212089.0,-56349658.0,-55673616.0,-57418868.0,-57958627.0,-58505458.0,-59010280.0,-59498508.0,-60786320.0,-62551058.0,-61403042.0,-65237267.0,-69937037.0,-70872544.0,-71957930.0,-74494389.0,-74952564.0,-78719188.0,-80489402.0,-83447045.0,-85583852.0,-88360093.0,-88987730.0,-88834426.0,-93859143.0,-103190150.0,-104975198.0,-107696216.0,-106947006.0,-107606129.0,-104762749.0,-107530837.0,-114021188.0,-113693789.0,-113588741.0,-118355736.0,-120089838.0,-121139111.0,-125682367.0,-124704007.0,-128821603.0,-132023944.0,-133146144.0,-134372727.0,-133463206.0,-136103950.0,-137445766.0,-141930162.0,-143793727.0,-143652121.0,-147681653.0,-150715619.0,-152205052.0,-156881616.0,-159885313.0,-165682605.0,-168217361.0,-171673928.0,-176163626.0,-180493920.0,-185217256.0,-196563513.0,-199024136.0,-195778253.0
302,-861332.0,-1025276.0,-7654838.0,-14684857.0,-19473016.0,-17907787.0,-20475732.0,-31964487.0,-34876945.0,-35393253.0,-40814186.0,-44735834.0,-51414741.0,-55085353.0,-64285097.0,-62672402.0,-65491509.0,-66575553.0,-66553192.0,-66134803.0,-73577654.0,-72727565.0,-71721504.0,-69142377.0,-68279449.0,-68540386.0,-67353071.0,-68992404.0,-67768256.0,-68889166.0,-67900753.0,-67685520.0,-67629984.0,-75510046.0,-79970787.0,-77611877.0,-77468669.0,-70150879.0,-73853352.0,-66225954.0,-64055644.0,-63125118.0,-63888264.0,-64230215.0,-64826174.0,-64112577.0,-65076657.0,-63785994.0,-63720587.0,-68806300.0,-67537382.0,-61405887.0,-60720005.0,-59263463.0,-64881808.0,-66088614.0,-63371726.0,-56717025.0,-61372348.0,-63701216.0,-63230421.0,-62978465.0,-59419126.0,-62981537.0,-61856589.0,-69971028.0,-73510798.0,-72443026.0,-72053951.0,-71298699.0,-73365678.0,-80568055.0,-73185037.0,-72636332.0,-87102525.0,-83415715.0,-79932980.0,-89384066.0,-91395670.0,-86486293.0,-93163439.0,-85763646.0,-88554855.0,-87720059.0,-86221159.0,-86393567.0,-88145781.0,-86401545.0,-90681618.0,-82659794.0,-85306125.0,-86288227.0,-87396007.0,-84300882.0,-89254773.0,-89026351.0,-92656705.0,-86603141.0,-88349545.0,-87543402.0,-90397272.0,-95287890.0,-93832252.0,-97878759.0,-88952593.0,-90678684.0,-89376985.0,-93403620.0,-99555694.0,-95988739.0,-87659278.0,-86803410.0,-87527943.0,-91877431.0,-95466162.0,-94247852.0,-101092464.0,-103159813.0,-97302206.0,-93391420.0,-91396748.0,-87039110.0,-80988607.0,-85671149.0,-83891826.0,-71164721.0,-71868498.0,-69701357.0
701101,91999.0,216763.0,169134.0,240880.0,266916.0,330941.0,310031.0,363760.0,270916.0,480200.0,328768.0,568215.0,509823.0,520056.0,661798.0,750815.0,712259.0,715035.0,725461.0,744933.0,627301.0,800767.0,698363.0,760085.0,768557.0,726131.0,773403.0,910813.0,948874.0,876230.0,964974.0,913512.0,962881.0,960776.0,978647.0,863381.0,876951.0,812258.0,904270.0,887127.0,944375.0,962197.0,963743.0,866313.0,1447147.0,365655.0,1753435.0,897099.0,961860.0,980805.0,1043029.0,979487.0,1084206.0,973495.0,1044546.0,1110034.0,1072193.0,1095752.0,859612.0,899980.0,840379.0,879254.0,1078586.0,955245.0,1046190.0,1056467.0,1204950.0,1316008.0,770232.0,1188974.0,984015.0,1151443.0,1172335.0,1139464.0,1214940.0,1122320.0,1325513.0,1249067.0,1289245.0,1366039.0,1517581.0,1329670.0,1214768.0,1429626.0,1381370.0,1438993.0,1405106.0,1415538.0,1459021.0,1434682.0,1469569.0,1522687.0,1562064.0,1364805.0,1451611.0,1547704.0,1555232.0,1678073.0,1714281.0,1531333.0,1535065.0,1652209.0,1772135.0,1757124.0,1640302.0,1720003.0,1615068.0,1751478.0,1879804.0,1851444.0,1956716.0,1718132.0,1872985.0,1837032.0,1984346.0,2226422.0,1803640.0,1833604.0,1934660.0,1864785.0,1892632.0,2165213.0,2423971.0,2047231.0,2078214.0,2198199.0,2166879.0,2298370.0
