codigo,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25
203110,,,-1809,-8144,-14834,-21524,-28214,-34549,-41594,-48283,-54973,-61663,-68353,-75043,-81733,-88423,-95112,-101802,-108492,-115182,-121872,-161388,-200905,-240421,-279938,-320996,-363065,-405134,-447202,-489271,-531340,-573409,-615477,-690379,-765281,-840183,-915085,-989988,-1064890,-1140161,-1215433,-1294358,-1370532,-1446707,-1522881,-1522881,-1675230,-1751405,-1828058,-1905325,-1982941,-2061023,-2139361,-2218104,-2296592,-2375079,-2453567,-2532055,-2611168,-2691024,-2705221,-2718228,-2728791,-2737417,-2744160,-2751667,-2759174,-2766681,-2774188,-2781695,-2814202,-2834209,-2854216,-2874223,-2894230,-2914352,-2934244,-2954644,-2974848,-2995051,-3534406,-3556121,-3579286,-3604284,-3629282,-3652738,-3675183,-3697629,-3720075,-3742521,-3764967,-4499089,-4910665,-5125219,-5215751,-5306283,-5396815,-5487347,-5577879,-5676046,-5773894,-5872825,-5971172,-6069519,-5523281,-5623550,-5723819,-5826890,-5837356,-5985305,-6132905,-6279898,-6426892,-6573735,-6409110,-6504042,-3078076,-3143302,-3207903,-3271759,-3340805,-3407256,-3473707,-3540158,-3606609,-3673061,-3739512,-3805963
3,-5781996,-11448615,-16758536,-25343975,-30480851,-30083107,-34655733,-50451339,-62434955,-64498838,-66564130,-72073824,-65548006,-77279863,-86627165,-82508939,-88271361,-89772475,-92516687,-92628126,-92218800,-93803806,-93627287,-90586311,-91791401,-91030576,-94148282,-96111878,-94534399,-101523803,-101465980,-102897679,-129958134,-134914387,-138454965,-136038339,-134606734,-128621691,-107960835,-104035076,-101058136,-106032478,-114904099,-112480816,-131095337,-131960678,-131624194,-131205691,-108112480,-114076679,-111602132,-106829720,-112876903,-111767193,-117752472,-120739597,-143466337,-138641446,-141160514,-141675878,-114049695,-115413646,-115191666,-121646998,-122026169,-129150311,-131235714,-132488539,-132011217,-131994091,-134838099,-143074459,-136898828,-138493451,-152089721,-151958524,-153215648,-163709644,-167071803,-164865968,-171412301,-168115504,-172501147,-174572675,-175995141,-178795898,-183419592,-180742829,-190144747,-191702571,-196262697,-200402377,-198870063,-196210419,-198453475,-202306171,-211735561,-204754474,-207010508,-210900698,-215833628,-221831636,-224866554,-227878265,-222209445,-227641478,-227125581,-232392453,-238435803,-237923036,-231299211,-234937128,-237204684,-241609103,-249271001,-251776267,-258544599,-265692924,-263118842,-266111146,-266236187,-266697781,-264733272,-273672974,-276101769,-274795979,-278360736,-271860517
301,-1442383,-1844301,-2043471,-2944749,-3173052,-3282993,-3579206,-4030577,-3954293,-5269730,-6573399,-7658853,-8261012,-8614158,-9414922,-10460581,-12364811,-12618977,-15194403,-15439574,-16221167,-18516352,-19545357,-20181957,-22391799,-23432847,-25633548,-26620207,-27649916,-32068788,-32407580,-33343773,-33944315,-34666541,-33726172,-33375563,-32142430,-32785924,-30939177,-33302564,-34890803,-40717403,-45332995,-46081394,-40057797,-38534700,-40008210,-40618330,-42824152,-43531646,-42201980,-43930525,-50593158,-50816277,-51062549,-52459021,-52685892,-53200109,-51171722,-49374734,-48851041,-50452533,-53967275,-56708898,-58212089,-56349658,-55673616,-57418868,-57958627,-58505458,-59010280,-59498508,-60786320,-62551058,-61403042,-65237267,-69937037,-70872544,-71957930,-74494389,-74952564,-78719188,-80489402,-83447045,-85583852,-88360093,-88987730,-88834426,-93859143,-103190150,-104975198,-107696216,-106947006,-107606129,-104762749,-107530837,-114021188,-113693789,-113588741,-118355736,-120089838,-121139111,-125682367,-124704007,-128821603,-132023944,-133146144,-134372727,-133463206,-136103950,-137445766,-141930162,-143793727,-143652121,-147681653,-150715619,-152205052,-156881616,-159885313,-165682605,-168217361,-171673928,-176163626,-180493920,-185217256,-196563513,-199024136,-195778253
3011,-1442383,-1844301,-2043471,-2944749,-3173052,-3282993,-3579206,-4030577,-3954293,-5269730,-6573399,-7658853,-8261012,-8614158,-9414922,-10460581,-12364811,-12618977,-15194403,-15439574,-16221167,-18516352,-19545357,-20181957,-22391799,-23432847,-25633548,-26620207,-27649916,-32068788,-32407580,-33343773,-33944315,-34666541,-33726172,-33375563,-32142430,-32785924,-30939177,-33302564,-34890803,-40717403,-45332995,-46081394,-40057797,-38534700,-40008210,-40618330,-42824152,-43531646,-42201980,-43930525,-50593158,-50816277,-51062549,-52459021,-52685892,-53200109,-51171722,-49374734,-48851041,-50452533,-53967275,-56708898,-58212089,-56349658,-55673616,-57418868,-57958627,-58505458,-59010280,-59498508,-60786320,-62551058,-61403042,-65237267,-69937037,-70872544,-71957930,-74494389,-74952564,-78719188,-80489402,-83447045,-85583852,-88360093,-88987730,-88834426,-93859143,-103190150,-104975198,-107696216,-106947006,-107606129,-104762749,-107530837,-114021188,-113693789,-113588741,-118355736,-120089838,-121139111,-125682367,-124704007,-128821603,-132023944,-133146144,-134372727,-133463206,-136103950,-137445766,-141930162,-143793727,-143652121,-147681653,-150715619,-152205052,-156881616,-159885313,-165682605,-168217361,-171673928,-176163626,-180493920,-185217256,-196563513,-199024136,-195778253
301102,-54591,-47591,-43841,-38221,-10572,-10572,-45643,-46743,-31771,-17059,-29179,-56384,-36038,-40110,-40544,-43158,-46141,-72376,-47890,-49281,-66490,-73345,-67530,-69579,-86975,-99824,-120836,-134457,-130281,-130672,-140190,-141114,-177295,-187503,-185120,-192467,-292028,-358632,-304450,-204957,-220929,-224210,-267351,-234764,-233471,1147,-485936,-329845,-335586,-274622,-322569,-374166,-413336,-464855,-418941,-382158,-423534,-877830,-475194,-298652,-310948,-647679,-1129169,-1031613,-1915324,-2268435,-920868,-2234414,-1599923,-1390178,-1413043,-1399404,-2258286,-2520684,-1561438,-1807225,-2024916,-1696028,-1668412,-2232382,-1875378,-2113483,-3051637,-3383108,-3762471,-4507614,-5871138,-3560978,-2990870,-3203973,-4051038,-4579029,-5506621,-5117712,-3901732,-4052736,-6123818,-4516779,-4784663,-4265745,-3022632,-4170492,-5632801,-4240589,-2860566,-3933666,-3048174,-3416807,-5323980,-4733137,-4681937,-4922795,-3258138,-4356924,-5790923,-6048344,-6348898,-6917944,-6901953,-7410008,-7517170,-6887130,-7955411,-7623534,-7724100,-11512619,-11335160,-10666375
301103,-1348603,-1722382,-1888132,-2748676,-2952670,-3038318,-3247104,-3654340,-3813211,-5080149,-6290590,-7282532,-7824290,-8099887,-9038262,-9992059,-11766012,-11881811,-14351595,-14526547,-15579524,-17902848,-18792976,-19382243,-21439459,-22305319,-24695336,-25650691,-26520818,-30785309,-30943030,-31724535,-32710494,-33437883,-32459085,-32000105,-30238747,-30639616,-29173506,-31461808,-32911803,-38613250,-43015465,-43643474,-38131903,-36795558,-37780145,-38472749,-40603442,-41148206,-40171950,-41651217,-48162485,-48049172,-48200167,-49452938,-50091375,-50225897,-48778394,-46872114,-46241002,-47188203,-50802448,-53382990,-54045067,-51662781,-52287682,-52638782,-54338848,-55025331,-55458923,-55672996,-55889681,-57151823,-57500418,-60970634,-65232524,-66053430,-66845537,-68788948,-70337117,-73767726,-74518590,-76678535,-78075091,-79777469,-79939180,-81995900,-87346817,-96060841,-96684193,-98515452,-97756359,-98903660,-97105840,-99345960,-103364839,-104374144,-104946498,-109991160,-112754077,-112300165,-114955411,-115039137,-121676111,-123724713,-125570104,-126109944,-122889977,-125737093,-128011371,-131989866,-135284862,-133667103,-135950271,-138091294,-140656548,-144574925,-147357324,-152125692,-154078378,-157603790,-162345453,-166661479,-170839506,-177635307,-179982204,-176697213
301105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-337342,-374811,-363668,-472815,-367251,-331296,-286595,-254309,-228252,-369185,-359741,-293066,-290746,-285010,-283746,-352874,-297218,-384622,-340565,-296332,-327102,-329543,-330589,-512152,-418217,-478664,-478488,-587508,-440224,-436244,-244803,-263079,-276335,-275926,-285016,-283916,-295285,-307428,-316959,-328382,-332048,-340358,-345684,-355410,-379477,-388627,-401987,-403198,-406241,-417621,-428833,-441906,-449200,-449815,-463085,-468433,-504991,-511768,-525102,-525195,-539649,-538919,-546953,-559263,-548099,-553251,-559891,-555369,-582455,-587666,-594003,-583019,-592630,-596543,-627776,-632804,-644569,-638870,-639437,-652381,-686601,-703888,-705896,-717062,-733305,-733006,-758721,-747524,-755944,-761315,-763123,-782118
301107,,, -   , -   , -   , -   , -   ,6,6,6,6,6, -   , -   , -   , -   , -   , -   ,0,-1,100090,100090,-1,-2, -   ,-19, -   ,-70,-49, -   , -   ,-4, -   ,2349,-433,-430,-1412, -   , -   , -   , -   ,53514, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,-14333, -   ,0,0,0,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,-438, -   , -   , -   , -   ,-460, -   , -   , -   , -   , -   , -   , -   , -   , -   ,-223, -   , -   , -   , -   , -   , -   , -   , -   , -   ,150000, -   , -   , -   
301108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,-25,-25,-25,-25,-25,-25,-25,-25, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
301199,-39189,-74328,-111497,-157853,-209811,-234104,-286459,-329501,-109318,-172528,-253637,-319943,-400685,-474160,-336115,-425364,-552657,-664790,-794918,-863744,-675243,-640248,-684851,-730133,-865365,-1027684,-817376,-834990,-998768,-1152807,-1324360,-1478120,-1056526,-1043503,-1081534,-1182562,-1272900,-1412865,-1097554,-1162984,-1390819,-1602161,-1763585,-1948848,-1464170,-1371104,-1382388,-1522670,-1594379,-1823808,-1423715,-1552267,-1720119,-1917628,-2102876,-2327593,-1843881,-1766839,-1587545,-1691816,-1880873,-2137988,-1557170,-1706787,-1811474,-1982198,-2220263,-2282593,-1743522,-1814023,-1853298,-2142192,-2343068,-2571123,-2024228,-2131026,-2347549,-2782728,-3098296,-3117649,-2360591,-2435019,-2517187,-2982203,-3340049,-3657387,-2748578,-2835642,-3072257,-3475522,-3776882,-4133302,-3179034,-3072990,-3230075,-3606947,-3992882,-4263922,-3310602,-3539104,-3765005,-4115179,-4534239,-4868887,-3701985,-3777899,-3933863,-4262957,-4656620,-5037177,-4124682,-4384696,-4606159,-4989225,-5300799,-5923599,-4513005,-4684859,-4920139,-5429843,-5888508,-6450002,-5104041,-5461383,-6047706,-6654272,-6943649,-7632547
